股票代码,股票名称,2020年分红,2020年收盘价,2020年股息率(%),2021年分红,2021年收盘价,2021年股息率(%),2022年分红,2022年收盘价,2022年股息率(%),2023年分红,2023年收盘价,2023年股息率(%),2024年分红,2024年收盘价,2024年股息率(%),2025年分红,2025年收盘价,2025年股息率(%),2020-2025年累计分红,2020-2025年平均股息率(%)
sh.600023,浙能电力,0.2,3.63,5.51,0.225,4.04,5.57,0.0,3.49,0.0,0.0,4.61,0.0,0.25,5.66,4.42,0.34,5.12,6.64,1.015,5.54
sh.600027,华电国际,0.146,3.4,4.29,0.25,5.35,4.67,0.25,5.88,4.25,0.2,5.14,3.89,0.23,5.61,4.1,0.22,5.2,4.23,1.296,4.24
sh.600028,中国石化,0.26,4.03,6.45,0.29,4.23,6.86,0.47,4.36,10.78,0.34,5.58,6.09,0.346,6.68,5.18,0.228,5.96,3.83,1.934,6.53
sh.600031,三一重工,0.42,34.98,1.2,0.6,22.8,2.63,0.45,15.8,2.85,0.16,13.77,1.16,0.22,16.48,1.33,0.67,21.23,3.16,2.52,2.06
sh.600035,楚天高速,0.16,2.91,5.5,0.07,3.15,2.22,0.14,3.39,4.13,0.14,3.82,3.66,0.19,4.6,4.13,0.17,4.02,4.23,0.87,3.98
sh.600036,招商银行,1.2,43.95,2.73,1.253,48.71,2.57,1.522,37.26,4.08,1.738,27.82,6.25,1.972,39.3,5.02,2.0,43.18,4.63,9.685,4.21
sh.600039,四川路桥,0.07,4.51,1.55,0.25,12.04,2.08,0.47,11.12,4.23,0.91,7.49,12.15,0.554,7.28,7.61,0.409,9.32,4.39,2.663,5.33
sh.600050,中国联通,0.0604,4.46,1.35,0.1157,3.93,2.94,0.1054,4.48,2.35,0.1223,4.38,2.79,0.1483,5.31,2.79,0.1733,5.33,3.25,0.7254,2.58
sh.600057,厦门象屿,0.25,6.02,4.15,0.3,8.49,3.53,0.51,10.27,4.97,0.61,6.71,9.09,0.3,6.49,4.62,0.35,9.11,3.84,2.32,5.03
sh.600060,海信视像,0.127,11.48,1.11,0.275,13.45,2.04,0.087,13.54,0.64,0.644,20.9,3.08,0.8053,19.94,4.04,0.88,25.46,3.46,2.8183,2.4
sh.600064,南京高科,0.45,10.27,4.38,0.5,9.34,5.35,0.6,6.61,9.08,0.42,6.04,6.95,0.28,7.77,3.6,0.3,8.51,3.53,2.55,5.48
sh.600066,宇通客车,1.0,16.92,5.91,1.0,11.02,9.07,0.5,7.51,6.66,1.0,13.25,7.55,2.0,26.38,7.58,1.5,32.27,4.65,7.0,6.9
sh.600067,冠城新材,0.0,3.65,0.0,0.07,3.95,1.77,0.0,3.1,0.0,0.0,2.51,0.0,0.0,2.65,0.0,0.22,4.78,4.6,0.29,3.18
sh.600096,云天化,0.0,6.07,0.0,0.0,19.62,0.0,0.0,21.04,0.0,1.0,15.6,6.41,1.0,22.3,4.48,1.6,31.29,5.11,3.6,5.33
sh.600098,广州发展,0.05,6.52,0.77,0.17,8.08,2.1,0.1,5.55,1.8,0.2,5.37,3.72,0.25,6.42,3.89,0.37,6.8,5.44,1.14,2.95
sh.600141,兴发集团,0.1,11.03,0.91,0.25,37.88,0.66,0.5,29.0,1.72,1.0,18.25,5.48,0.6,21.7,2.76,1.0,32.99,3.03,3.45,2.43
sh.600153,建发股份,0.5,8.21,6.09,0.5,9.07,5.51,0.6,13.65,4.4,0.8,9.63,8.31,1.0,10.52,9.51,0.4,9.8,4.08,3.8,6.32
sh.600177,雅戈尔,0.2,7.19,2.78,0.5,6.89,7.26,0.5,6.33,7.9,0.5,6.55,7.63,0.7,8.9,7.87,0.46,7.46,6.17,2.86,6.6
sh.600182,S佳通,0.079,15.29,0.52,0.055,13.46,0.41,0.035,14.0,0.25,0.035,14.82,0.24,0.59,17.23,3.42,0.59,15.92,3.71,1.384,1.43
sh.600188,兖矿能源,0.58,10.07,5.76,0.6,23.53,2.55,1.6,33.58,4.76,3.07,19.81,15.5,1.72,14.17,12.14,0.72,13.52,5.33,8.29,7.67
sh.600197,伊力特,0.438,28.26,1.55,0.405,27.12,1.49,0.41,24.54,1.67,0.41,21.75,1.89,0.39,17.25,2.26,0.45,14.14,3.18,2.503,2.01
sh.600210,紫江企业,0.2,4.35,4.6,0.25,9.18,2.72,0.25,5.0,5.0,0.25,4.7,5.32,0.25,6.61,3.78,0.3,7.36,4.08,1.5,4.25
